setting,accuracy,macro_f1,time_sec
periodic,0.9956741167988464,0.9955062916682863,561.9881296999956
non_periodic,0.6929487179487179,0.6903731630239793,897.7043171000041
combined,0.826942653545979,0.8315176031365069,3272.427622999996
