setting,channel,w_best,step_best,accuracy,macro_f1,time_sec,train_size_used,test_size
periodic,0,16,4,0.852198990627253,0.850426457262571,16.609897700000147,600,1387
non_periodic,0,16,4,0.48205128205128206,0.46223689803101636,16.875845700000355,600,1560
combined,0,40,10,0.6087546657617916,0.6022562101405623,7.508145400002832,600,2947
