setting,channels,accuracy,macro_f1,time_sec
periodic,"[0, 6]",0.8428262436914203,0.8421220872372545,32.79252959999576
non_periodic,"[6, 0]",0.49166666666666664,0.48060867605146873,35.44692629999918
combined,"[0, 6]",0.6107906345436037,0.6190602145326524,13.746945200000482
